frame;t(s);x(px);y(px)
0;0.0;417;569
1;0.033;427;567
2;0.067;433;566
3;0.1;436;565
4;0.133;436;565
5;0.167;433;566
6;0.2;427;567
7;0.233;417;569
8;0.267;405;572
9;0.3;389;575
10;0.333;371;578
11;0.367;351;581
12;0.4;328;584
13;0.433;304;585
14;0.467;279;586
15;0.5;254;587
16;0.533;228;586
17;0.567;203;585
18;0.6;178;582
19;0.633;155;579
20;0.667;134;576
21;0.7;114;573
22;0.733;97;570
23;0.767;87;566
24;0.8;76;563
25;0.833;69;561
26;0.867;66;560
27;0.9;65;559
28;0.933;66;560
29;0.967;72;562
30;1.0;80;564
31;1.033;92;566
32;1.067;107;569
33;1.1;123;572
34;1.133;143;575
35;1.167;165;578
36;1.2;188;581
37;1.233;209;582
38;1.267;234;583
39;1.3;259;584
40;1.333;284;583
41;1.367;309;582
42;1.4;332;579
43;1.433;353;577
44;1.467;373;574
45;1.5;391;572
46;1.533;407;568
47;1.567;419;566
48;1.6;428;563
49;1.633;435;562
50;1.667;438;561
51;1.7;438;561
52;1.733;435;562
53;1.767;428;563
54;1.8;419;566
55;1.833;407;568
56;1.867;391;572
57;1.9;373;575
58;1.933;353;578
59;1.967;330;581
60;2.0;306;583
61;2.033;280;584
62;2.067;255;585
63;2.1;231;585
64;2.133;206;584
65;2.167;182;581
66;2.2;159;578
67;2.233;138;576
68;2.267;119;572
69;2.3;103;569
70;2.333;89;566
71;2.367;79;564
72;2.4;71;562
73;2.433;68;561
74;2.467;67;561
75;2.5;67;561
76;2.533;71;562
77;2.567;78;564
78;2.6;88;566
79;2.633;101;569
80;2.667;117;572
81;2.7;135;575
82;2.733;155;578
83;2.767;177;581
84;2.8;201;583
85;2.833;224;585
86;2.867;249;585
87;2.9;273;586
88;2.933;297;585
89;2.967;321;583
90;3.0;343;581
91;3.033;364;578
92;3.067;383;575
93;3.1;400;572
94;3.133;413;570
95;3.167;424;568
96;3.2;433;566
97;3.233;438;565
98;3.267;440;565
99;3.3;439;565
100;3.333;434;567
101;3.367;426;569
102;3.4;415;571
103;3.433;402;574
104;3.467;385;577
105;3.5;365;581
106;3.533;344;584
107;3.567;321;586
108;3.6;297;587
109;3.633;271;588
110;3.667;246;588
111;3.7;221;587
112;3.733;197;586
113;3.767;172;583
114;3.8;150;580
115;3.833;130;577
116;3.867;112;574
117;3.9;96;571
118;3.933;84;568
119;3.967;74;565
120;4.0;68;564
121;4.033;66;563
122;4.067;67;563
123;4.1;70;564
124;4.133;78;566
125;4.167;88;568
126;4.2;101;571
127;4.233;116;574
128;4.267;134;577
129;4.3;154;580
130;4.333;176;582
131;4.367;199;585
132;4.4;223;586
133;4.433;247;587
134;4.467;271;587
135;4.5;295;586
136;4.533;319;584
137;4.567;340;581
138;4.6;360;579
139;4.633;378;575
140;4.667;395;572
141;4.7;409;570
142;4.733;420;567
143;4.767;429;566
144;4.8;434;564
145;4.833;436;564
146;4.867;435;565
147;4.9;430;566
148;4.933;423;568
149;4.967;413;571
150;5.0;399;574
151;5.033;382;578
152;5.067;364;581
153;5.1;342;584
154;5.133;321;587
155;5.167;297;588
156;5.2;272;589
157;5.233;247;590
158;5.267;223;589
159;5.3;198;588
160;5.333;175;585
161;5.367;153;583
162;5.4;133;580
163;5.433;116;577
164;5.467;100;574
165;5.5;88;571
166;5.533;79;569
167;5.567;73;567
168;5.6;70;566
169;5.633;71;566
170;5.667;72;567
171;5.7;76;568
172;5.733;85;570
173;5.767;97;572
174;5.8;112;575
175;5.833;128;578
176;5.867;147;582
177;5.9;168;584
178;5.933;190;586
179;5.967;213;588
180;6.0;236;589
181;6.033;260;590
182;6.067;283;589
183;6.1;307;588
184;6.133;330;586
185;6.167;351;584
186;6.2;370;581
187;6.233;387;578
188;6.267;402;575
189;6.3;415;573
190;6.333;424;570
191;6.367;431;569
192;6.4;435;568
193;6.433;435;568
194;6.467;432;569
195;6.5;426;570
196;6.533;417;573
197;6.567;405;576
198;6.6;390;579
199;6.633;373;582
200;6.667;353;586
201;6.7;331;588
202;6.733;308;591
203;6.767;284;592
204;6.8;259;593
205;6.833;236;593
206;6.867;211;592
207;6.9;187;590
208;6.933;165;588
209;6.967;143;585
210;7.0;124;582
211;7.033;107;579
212;7.067;97;577
213;7.1;85;574
214;7.133;77;572
215;7.167;71;571
216;7.2;70;570
217;7.233;72;571
218;7.267;77;572
219;7.3;86;574
220;7.333;97;576
221;7.367;112;579
222;7.4;128;582
223;7.433;146;585
224;7.467;167;587
225;7.5;189;589
226;7.533;212;591
227;7.567;235;591
228;7.6;259;592
229;7.633;283;592
230;7.667;307;591
231;7.7;329;589
232;7.733;351;586
233;7.767;370;584
234;7.8;387;581
235;7.833;402;578
236;7.867;415;576
237;7.9;424;574
238;7.933;431;572
239;7.967;435;572
240;8.0;435;571
241;8.033;432;572
242;8.067;426;574
243;8.1;418;576
244;8.133;406;579
245;8.167;391;582
246;8.2;374;585
247;8.233;355;588
248;8.267;333;590
249;8.3;310;592
250;8.333;286;594
251;8.367;261;594
252;8.4;237;594
253;8.433;213;593
254;8.467;189;592
255;8.5;168;589
256;8.533;146;587
257;8.567;127;583
258;8.6;112;580
259;8.633;98;578
260;8.667;88;575
261;8.7;80;573
262;8.733;76;572
263;8.767;75;571
264;8.8;77;572
265;8.833;82;573
266;8.867;86;573
267;8.9;95;575
268;8.933;108;578
269;8.967;123;581
270;9.0;140;584
271;9.033;159;587
272;9.067;180;589
273;9.1;202;591
274;9.133;225;592
275;9.167;249;593
276;9.2;274;594
277;9.233;297;593
278;9.267;319;592
279;9.3;341;590
280;9.333;361;588
281;9.367;379;586
282;9.4;395;584
283;9.433;410;581
284;9.467;421;580
285;9.5;429;578
286;9.533;435;577
287;9.567;438;578
288;9.6;437;578
289;9.633;433;580
290;9.667;425;582
291;9.7;415;584
292;9.733;402;586
293;9.767;386;589
294;9.8;368;592
295;9.833;347;595
296;9.867;325;596
297;9.9;301;598
298;9.933;277;598
299;9.967;253;598
300;10.0;228;597
301;10.033;204;595
302;10.067;181;593
303;10.1;158;590
304;10.133;139;587
305;10.167;120;584
306;10.2;105;581
307;10.233;94;578
308;10.267;85;576
309;10.3;79;574
310;10.333;76;573
311;10.367;76;573
312;10.4;80;573
313;10.433;87;575
314;10.467;97;577
315;10.5;110;580
316;10.533;125;583
317;10.567;141;586
318;10.6;160;588
319;10.633;182;591
320;10.667;204;593
321;10.7;228;595
322;10.733;251;596
323;10.767;275;596
324;10.8;298;596
325;10.833;321;595
326;10.867;342;593
327;10.9;363;591
328;10.933;380;589
329;10.967;397;587
330;11.0;411;584
331;11.033;420;583
332;11.067;428;581
333;11.1;433;581
334;11.133;436;580
335;11.167;435;580
336;11.2;430;581
337;11.233;423;583
338;11.267;413;585
339;11.3;401;588
340;11.333;385;591
341;11.367;367;593
342;11.4;346;596
343;11.433;323;598
344;11.467;300;599
345;11.5;276;600
346;11.533;251;599
347;11.567;226;599
348;11.6;202;597
349;11.633;179;595
350;11.667;156;592
351;11.7;136;588
352;11.733;119;585
353;11.767;103;582
354;11.8;92;579
355;11.833;82;577
356;11.867;76;575
357;11.9;73;574
358;11.933;73;574
359;11.967;77;575
360;12.0;84;576
361;12.033;94;579
362;12.067;98;580
363;12.1;112;583
364;12.133;129;586
365;12.167;147;589
366;12.2;168;592
367;12.233;188;594
368;12.267;210;596
369;12.3;234;598
370;12.333;258;598
371;12.367;282;598
372;12.4;305;597
373;12.433;328;596
374;12.467;349;594
375;12.5;368;592
376;12.533;386;590
377;12.567;400;588
378;12.6;413;585
379;12.633;423;584
380;12.667;429;582
381;12.7;433;581
382;12.733;434;581
383;12.767;431;582
384;12.8;425;584
385;12.833;416;586
386;12.867;404;588
387;12.9;390;590
388;12.933;373;593
389;12.967;353;595
390;13.0;332;597
391;13.033;309;599
392;13.067;286;600
393;13.1;262;601
394;13.133;237;601
395;13.167;212;599
396;13.2;187;597
397;13.233;164;595
398;13.267;143;592
399;13.3;125;589
400;13.333;110;586
401;13.367;97;583
402;13.4;85;580
403;13.433;76;578
404;13.467;71;577
405;13.5;70;577
406;13.533;72;577
407;13.567;78;578
408;13.6;87;580
409;13.633;99;582
410;13.667;112;585
411;13.7;127;588
412;13.733;146;590
413;13.767;166;593
414;13.8;188;595
415;13.833;211;597
416;13.867;234;599
417;13.9;257;599
418;13.933;281;599
419;13.967;304;598
420;14.0;326;596
421;14.033;347;594
422;14.067;367;592
423;14.1;384;590
424;14.133;399;588
425;14.167;412;585
426;14.2;421;584
427;14.233;428;582
428;14.267;432;582
429;14.3;433;582
430;14.333;431;583
431;14.367;424;584
432;14.4;416;587
433;14.433;404;589
434;14.467;390;591
435;14.5;373;594
436;14.533;354;596
437;14.567;333;599
438;14.6;310;600
439;14.633;286;601
440;14.667;260;601
441;14.7;235;601
442;14.733;211;600
443;14.767;186;598
444;14.8;164;595
445;14.833;144;592
446;14.867;125;590
447;14.9;109;586
448;14.933;97;584
449;14.967;86;581
450;15.0;78;579
451;15.033;74;578
452;15.067;73;578
453;15.1;75;578
454;15.133;80;578
455;15.167;89;580
456;15.2;99;583
457;15.233;99;583
458;15.267;121;587
459;15.3;138;589
460;15.333;157;592
461;15.367;178;594
462;15.4;199;596
463;15.433;222;598
464;15.467;246;598
465;15.5;269;599
466;15.533;293;598
467;15.567;315;596
468;15.6;336;594
469;15.633;356;592
470;15.667;374;590
471;15.7;390;588
472;15.733;403;586
473;15.767;415;584
474;15.8;423;583
475;15.833;428;582
476;15.867;431;581
477;15.9;429;582
478;15.933;425;583
479;15.967;418;585
480;16.0;408;588
481;16.033;395;590
482;16.067;380;593
483;16.1;362;595
484;16.133;342;597
485;16.167;320;600
486;16.2;298;601
487;16.233;273;602
488;16.267;248;602
489;16.3;222;601
490;16.333;199;599
491;16.367;176;597
492;16.4;155;594
493;16.433;136;591
494;16.467;119;588
495;16.5;104;585
496;16.533;93;583
497;16.567;84;580
498;16.6;78;579
499;16.633;75;578
500;16.667;75;577
501;16.7;79;578
502;16.733;86;579
503;16.767;94;581
504;16.8;107;583
505;16.833;122;586
506;16.867;139;589
507;16.9;158;591
508;16.933;178;593
509;16.967;200;595
510;17.0;223;597
511;17.033;247;598
512;17.067;271;598
513;17.1;294;598
514;17.133;317;596
515;17.167;338;595
516;17.2;357;592
517;17.233;375;590
518;17.267;390;587
519;17.3;403;585
520;17.333;414;583
521;17.367;422;582
522;17.4;428;581
523;17.433;430;580
524;17.467;429;580
525;17.5;425;581
526;17.533;417;583
527;17.567;407;586
528;17.6;394;588
529;17.633;379;590
530;17.667;361;593
531;17.7;341;595
532;17.733;320;597
533;17.767;297;599
534;17.8;272;599
535;17.833;247;599
536;17.867;222;598
537;17.9;198;596
538;17.933;176;594
539;17.967;155;591
540;18.0;137;589
541;18.033;120;586
542;18.067;106;583
543;18.1;94;580
544;18.133;85;578
545;18.167;79;577
546;18.2;77;576
547;18.233;77;576
548;18.267;81;576
549;18.3;88;577
550;18.333;96;579
551;18.367;109;581
552;18.4;123;584
553;18.433;123;584
554;18.467;149;588
555;18.5;168;590
556;18.533;190;592
557;18.567;211;594
558;18.6;234;595
559;18.633;258;596
560;18.667;281;595
561;18.7;304;594
562;18.733;324;593
563;18.767;345;591
564;18.8;363;589
565;18.833;379;587
566;18.867;394;585
567;18.9;406;583
568;18.933;415;581
569;18.967;421;579
570;19.0;426;579
571;19.033;427;579
572;19.067;424;580
573;19.1;418;582
574;19.133;410;584
575;19.167;398;586
576;19.2;385;588
577;19.233;368;591
578;19.267;349;594
579;19.3;329;596
580;19.333;307;598
581;19.367;284;599
582;19.4;259;600
583;19.433;235;599
584;19.467;211;598
585;19.5;188;596
586;19.533;167;593
587;19.567;148;591
588;19.6;130;588
589;19.633;116;585
590;19.667;103;582
591;19.7;93;580
592;19.733;85;578
593;19.767;81;577
594;19.8;80;576
595;19.833;82;576
596;19.867;87;577
597;19.9;95;579
598;19.933;106;581
599;19.967;120;583
600;20.0;134;586
601;20.033;152;589
602;20.067;170;591
603;20.1;191;593
604;20.133;213;594
605;20.167;235;595
606;20.2;259;596
607;20.233;281;595
608;20.267;304;595
609;20.3;324;593
610;20.333;345;591
611;20.367;363;589
612;20.4;379;587
613;20.433;393;584
614;20.467;405;582
615;20.5;414;581
616;20.533;421;580
617;20.567;425;579
618;20.6;425;579
619;20.633;422;580
620;20.667;416;581
621;20.7;408;583
622;20.733;397;585
623;20.767;383;587
624;20.8;366;590
625;20.833;347;592
626;20.867;326;594
627;20.9;304;596
628;20.933;280;597
629;20.967;256;597
630;21.0;232;596
631;21.033;208;595
632;21.067;186;593
633;21.1;165;591
634;21.133;146;588
635;21.167;129;586
636;21.2;115;583
637;21.233;101;581
638;21.267;90;578
639;21.3;84;577
640;21.333;80;575
641;21.367;79;575
642;21.4;82;575
643;21.433;87;576
644;21.467;96;578
645;21.5;106;580
646;21.533;120;582
647;21.567;135;585
648;21.6;152;587
649;21.633;152;587
650;21.667;182;591
651;21.7;203;593
652;21.733;225;594
653;21.767;247;595
654;21.8;269;595
655;21.833;291;594
656;21.867;313;593
657;21.9;334;592
658;21.933;354;590
659;21.967;372;588
660;22.0;387;586
661;22.033;401;585
662;22.067;411;583
663;22.1;419;582
664;22.133;425;581
665;22.167;426;581
666;22.2;425;581
667;22.233;422;582
668;22.267;415;584
669;22.3;405;586
670;22.333;392;588
671;22.367;376;591
672;22.4;358;593
673;22.433;338;595
674;22.467;316;597
675;22.5;294;598
676;22.533;271;598
677;22.567;247;598
678;22.6;224;597
679;22.633;201;595
680;22.667;179;593
681;22.7;158;591
682;22.733;139;588
683;22.767;123;585
684;22.8;109;582
685;22.833;98;579
686;22.867;88;577
687;22.9;82;575
688;22.933;80;574
689;22.967;80;574
690;23.0;84;575
691;23.033;93;576
692;23.067;104;578
693;23.1;116;580
694;23.133;129;583
695;23.167;144;585
696;23.2;162;587
697;23.233;181;589
698;23.267;202;591
699;23.3;224;593
700;23.333;247;593
701;23.367;269;594
702;23.4;291;593
703;23.433;312;592
704;23.467;332;591
705;23.5;351;589
706;23.533;368;587
707;23.567;383;585
708;23.6;396;584
709;23.633;406;582
710;23.667;414;581
711;23.7;419;580
712;23.733;421;580
713;23.767;420;581
714;23.8;416;582
715;23.833;409;583
716;23.867;400;585
717;23.9;387;588
718;23.933;371;590
719;23.967;354;593
720;24.0;334;595
721;24.033;313;596
722;24.067;290;597
723;24.1;267;597
724;24.133;244;597
725;24.167;220;596
726;24.2;198;595
727;24.233;176;593
728;24.267;157;590
729;24.3;139;587
730;24.333;125;584
731;24.367;110;581
732;24.4;100;579
733;24.433;92;577
734;24.467;87;575
735;24.5;85;575
736;24.533;86;574
737;24.567;90;575
738;24.6;96;576
739;24.633;106;578
740;24.667;118;580
741;24.7;131;582
742;24.733;148;585
743;24.767;165;587
744;24.8;184;589
745;24.833;184;589
746;24.867;215;591
747;24.9;236;593
748;24.933;258;593
749;24.967;280;593
750;25.0;302;592
751;25.033;322;591
752;25.067;341;590
753;25.1;359;588
754;25.133;375;586
755;25.167;388;584
756;25.2;400;582
757;25.233;408;581
758;25.267;414;580
759;25.3;417;579
760;25.333;417;579
761;25.367;414;580
762;25.4;408;581
763;25.433;399;583
764;25.467;387;585
765;25.5;373;588
766;25.533;357;590
767;25.567;337;592
768;25.6;316;593
769;25.633;294;594
770;25.667;271;595
771;25.7;248;595
772;25.733;226;594
773;25.767;203;593
774;25.8;182;592
775;25.833;162;590
776;25.867;143;587
777;25.9;126;584
778;25.933;113;582
779;25.967;102;579
780;26.0;93;577
781;26.033;86;575
782;26.067;82;574
783;26.1;81;573
784;26.133;84;573
785;26.167;88;574
786;26.2;96;576
787;26.233;107;578
788;26.267;119;580
789;26.3;134;582
790;26.333;150;585
791;26.367;168;587
792;26.4;188;589
793;26.433;208;591
794;26.467;230;592
795;26.5;250;593
796;26.533;272;593
797;26.567;293;592
798;26.6;314;592
799;26.633;332;591
800;26.667;350;589
801;26.7;366;588
802;26.733;379;586
803;26.767;387;585
804;26.8;396;583
805;26.833;402;583
806;26.867;405;583
807;26.9;406;583
808;26.933;403;584
809;26.967;397;585
810;27.0;392;587
811;27.033;382;589
812;27.067;368;591
813;27.1;352;593
814;27.133;334;595
815;27.167;314;597
816;27.2;293;598
817;27.233;271;598
818;27.267;249;598
819;27.3;226;597
820;27.333;204;596
